VTX, IDX, gl_Position.x, gl_Position.y, gl_Position.z, gl_Position.w, fTexCoord.x, fTexCoord.y
81, 81, -0.73053, -0.94333,  0.00,  1.00,  0.21216,  0.05263
82, 82, -0.73053, -1.00,  0.00,  1.00,  0.21216,  0.94737
83, 83, -0.71158, -1.00,  0.00,  1.00,  0.22333,  0.94737
84, 84, -0.71158, -0.94333,  0.00,  1.00,  0.00124,  0.05263
85, 85, -0.69263, -1.00,  0.00,  1.00,  0.01241,  0.94737
86, 86, -0.69263, -0.94333,  0.00,  1.00,  0.01241,  0.05263
87, 87, -0.71158, -0.94333,  0.00,  1.00,  0.00124,  0.05263
88, 88, -0.71158, -1.00,  0.00,  1.00,  0.00124,  0.94737
89, 89, -0.69263, -1.00,  0.00,  1.00,  0.01241,  0.94737
90, 90, -0.68421, -0.94333,  0.00,  1.00,  0.30025,  0.05263
91, 91, -0.66316, -1.00,  0.00,  1.00,  0.31266,  0.94737
92, 92, -0.66316, -0.94333,  0.00,  1.00,  0.31266,  0.05263
93, 93, -0.68421, -0.94333,  0.00,  1.00,  0.30025,  0.05263
94, 94, -0.68421, -1.00,  0.00,  1.00,  0.30025,  0.94737
95, 95, -0.66316, -1.00,  0.00,  1.00,  0.31266,  0.94737
96, 96, -0.66316, -0.94333,  0.00,  1.00,  0.87221,  0.05263
97, 97, -0.65053, -1.00,  0.00,  1.00,  0.87965,  0.94737
98, 98, -0.65053, -0.94333,  0.00,  1.00,  0.87965,  0.05263
99, 99, -0.66316, -0.94333,  0.00,  1.00,  0.87221,  0.05263
100, 100, -0.66316, -1.00,  0.00,  1.00,  0.87221,  0.94737
101, 101, -0.65053, -1.00,  0.00,  1.00,  0.87965,  0.94737
102, 102, -0.64211, -0.94333,  0.00,  1.00,  0.65012,  0.05263
103, 103, -0.62316, -1.00,  0.00,  1.00,  0.66129,  0.94737
104, 104, -0.62316, -0.94333,  0.00,  1.00,  0.66129,  0.05263
105, 105, -0.64211, -0.94333,  0.00,  1.00,  0.65012,  0.05263
106, 106, -0.64211, -1.00,  0.00,  1.00,  0.65012,  0.94737
107, 107, -0.62316, -1.00,  0.00,  1.00,  0.66129,  0.94737
108, 108, -0.61474, -0.94333,  0.00,  1.00,  0.35112,  0.05263
109, 109, -0.59579, -1.00,  0.00,  1.00,  0.36228,  0.94737
110, 110, -0.59579, -0.94333,  0.00,  1.00,  0.36228,  0.05263
111, 111, -0.61474, -0.94333,  0.00,  1.00,  0.35112,  0.05263
112, 112, -0.61474, -1.00,  0.00,  1.00,  0.35112,  0.94737
113, 113, -0.59579, -1.00,  0.00,  1.00,  0.36228,  0.94737
114, 114, -0.59579, -0.94333,  0.00,  1.00,  0.00124,  0.05263
115, 115, -0.57684, -1.00,  0.00,  1.00,  0.01241,  0.94737
116, 116, -0.57684, -0.94333,  0.00,  1.00,  0.01241,  0.05263
117, 117, -0.59579, -0.94333,  0.00,  1.00,  0.00124,  0.05263
118, 118, -0.59579, -1.00,  0.00,  1.00,  0.00124,  0.94737
119, 119, -0.57684, -1.00,  0.00,  1.00,  0.01241,  0.94737
120, 120, -0.57684, -0.94333,  0.00,  1.00,  0.14888,  0.05263
121, 121, -0.55579, -1.00,  0.00,  1.00,  0.16129,  0.94737
122, 122, -0.55579, -0.94333,  0.00,  1.00,  0.16129,  0.05263
123, 123, -0.57684, -0.94333,  0.00,  1.00,  0.14888,  0.05263
